id,name,location.country,location.city
1,Australia Grand Prix,Australia,Melbourne
2,Bahrain Grand Prix,Bahrain,Sakhir
3,Vietnam Grand Prix,Vietnam,Hanoï
4,China Grand Prix,China,Anting
5,Netherlands Grand Prix,Netherlands,Zandvoort
6,Spain Grand Prix,Spain,Montmeló
7,Monaco Grand Prix,Monaco,Monte-Carlo
8,Azerbaijan Grand Prix,Azerbaijan,Bakou
9,Canada Grand Prix,Canada,Montréal
10,France Grand Prix,France,Le Castellet
11,Austria Grand Prix,Austria,Spielberg
12,Great Britain Grand Prix,United Kingdom,Silverstone Northamptonshire
13,Germany Grand Prix,Germany,Hockenheim
14,Hungary Grand Prix,Hungary,Mogyoród
15,Belgium Grand Prix,Belgium,Francorchamps
16,Italy Grand Prix,Italy,Monza
17,Singapore Grand Prix,Singapore,Singapour
18,Russia Grand Prix,Russia,Sochi
19,Japan Grand Prix,Japan,Suzuka
20,USA Grand Prix,USA,Elroy
21,Mexico Grand Prix,Mexico,Mexico
22,Brazil Grand Prix,Brazil,São Paulo
23,Abu Dhabi Grand Prix,United Arab Emirates,"Yas Marina, Abou Dabi "
24,Portugal Grand Prix,Portugal,Algarve
25,Steiermark Grand Prix,Austria,Spielberg
26,Formula 1 70th Anniversary Grand Prix,Great Britain,Silverstone Northamptonshire
27,Toscana Grand Prix,Italy,Mugello
28,Eifel Grand Prix,Germany,
29,Emilia Romagna Grand Prix,Italy,Imola
30,Turkey Grand Prix,Turkey,Istanbul
31,Sakhir Grand Prix,Bahrain,Sakhir
32,Saudi Arabia Grand Prix,Saudi Arabia,Djeddah
33,Qatar Grand Prix,Qatar,Losail
34,Miami Grand Prix,USA,Miami
35,Las Vegas Grand Prix,USA,Las Vegas
94,GP of Malaysia,Malaysia,Sepang
214,Korean GP,South Korea,Yeongam
215,India GP,India,New Delhi
